28/01/2018 13:50:57start show cam
28/01/2018 13:52:09start show cam
28/01/2018 13:53:39start show cam
28/01/2018 14:21:00start show cam
28/01/2018 14:21:06start show cam
28/01/2018 14:25:39start show cam
28/01/2018 14:25:41site_id3503
31/01/2018 10:59:04start show cam
31/01/2018 10:59:07site_id GIS_CAM_CONTACTS_MENUAL_v2 3503
31/01/2018 11:01:30start show cam
31/01/2018 11:02:28start show cam
31/01/2018 11:02:30site_id GIS_CAM_CONTACTS_MENUAL_v2 3503
31/01/2018 11:04:17start show cam
31/01/2018 11:04:19site_id GIS_CAM_CONTACTS_MENUAL_v2 5078
31/01/2018 11:05:19start show cam
31/01/2018 11:05:23site_id GIS_CAM_CONTACTS_MENUAL_v2 5078
31/01/2018 11:25:04start show cam
31/01/2018 11:25:06site_id GIS_CAM_CONTACTS_MENUAL_v2 3503
31/01/2018 11:25:11start show cam
31/01/2018 11:25:13site_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:29:52 PMstart show cam
2/18/2018 1:29:54 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:37:31 PMstart show cam
2/18/2018 1:37:32 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:38:30 PMstart show cam
2/18/2018 1:38:31 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:40:47 PMstart show cam
2/18/2018 1:40:48 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:41:45 PMstart show cam
2/18/2018 1:41:47 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:42:01 PMstart show cam
2/18/2018 1:42:02 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:42:05 PMstart show cam
2/18/2018 1:42:15 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:43:01 PMstart show cam
2/18/2018 1:43:02 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:43:10 PMstart show cam
2/18/2018 1:43:12 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:50:24 PMstart show cam
2/18/2018 1:50:25 PMstart show cam
2/18/2018 1:50:26 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:50:26 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:51:50 PMstart show cam
2/18/2018 1:51:51 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 1:54:10 PMstart show cam
2/18/2018 1:54:11 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
